,original_word,tokenized_by_bert
0,"##ly
","['l', '##y']"
1,"coolant
","['cool', '##ant']"
2,"irradiation
","['ir', '##rad', '##iation']"
3,"reactivity
","['react', '##ivity']"
4,"eee
","['ee', '##e']"
5,"weld
","['we', '##ld']"
6,"plutonium
","['pluto', '##nium']"
7,"elsevier
","['else', '##vier']"
8,"cladding
","['clad', '##ding']"
9,"breeder
","['breed', '##er']"
10,"kalpakkam
","['ka', '##lp', '##ak', '##kam']"
11,"bnwl
","['bn', '##wl']"
12,"subassembly
","['sub', '##asse', '##mb', '##ly']"
13,"electrochemical
","['electro', '##chemical']"
14,"steels
","['steel', '##s']"
15,"neutrons
","['neutron', '##s']"
16,"irradiated
","['ir', '##rad', '##iated']"
17,"conductivity
","['conduct', '##ivity']"
18,"tensile
","['tens', '##ile']"
19,"ebrii
","['e', '##bri', '##i']"
20,"graphite
","['graph', '##ite']"
21,"burnup
","['burn', '##up']"
22,"##ation
","['at', '##ion']"
23,"anl
","['an', '##l']"
24,"subassemblies
","['sub', '##asse', '##mb', '##lies']"
25,"fiir
","['fi', '##ir']"
26,"durch
","['du', '##rch']"
27,"werden
","['we', '##rden']"
28,"microstructure
","['micro', '##st', '##ru', '##cture']"
29,"##ung
","['un', '##g']"
30,"plenum
","['pl', '##en', '##um']"
31,"rupture
","['ru', '##pt', '##ure']"
32,"ultrasonic
","['ultra', '##sonic']"
33,"lmfbr
","['l', '##m', '##fb', '##r']"
34,"sciencedirect
","['science', '##di', '##re', '##ct']"
35,"carbide
","['car', '##bid', '##e']"
36,"shutdown
","['shut', '##down']"
37,"boron
","['bo', '##ron']"
38,"argon
","['ar', '##gon']"
39,"##ment
","['men', '##t']"
40,"thermocouple
","['the', '##rm', '##oco', '##up', '##le']"
41,"wird
","['wi', '##rd']"
42,"austenitic
","['austen', '##itic']"
43,"thermocouples
","['the', '##rm', '##oco', '##up', '##les']"
44,"exchanger
","['exchange', '##r']"
45,"pellets
","['pe', '##llet', '##s']"
46,"pue
","['pu', '##e']"
47,"leakage
","['leak', '##age']"
48,"xray
","['x', '##ray']"
49,"piping
","['pip', '##ing']"
50,"sich
","['sic', '##h']"
