,original_word,tokenized_by_bert
0,"[PAD]
",['[PAD]']
1,"[UNK]
",['[UNK]']
2,"[CLS]
",['[CLS]']
3,"[SEP]
",['[SEP]']
4,"[MASK]
",['[MASK]']
5,"the
",['the']
6,"##.
","['#', '#', '.']"
7,"and
",['and']
8,"for
",['for']
9,"##s
","['#', '#', 's']"
10,"with
",['with']
11,"are
",['are']
12,"that
",['that']
13,"this
",['this']
14,"was
",['was']
15,"from
",['from']
16,"
",[]
17,"temperature
",['temperature']
18,"fuel
",['fuel']
19,"were
",['were']
20,"reactor
",['reactor']
21,"##e
","['#', '#', 'e']"
22,"which
",['which']
23,"##ing
","['#', '#', 'ing']"
24,"been
",['been']
25,"sodium
",['sodium']
26,"these
",['these']
27,"##n
","['#', '#', 'n']"
28,"will
",['will']
29,"has
",['has']
30,"can
",['can']
31,"have
",['have']
32,"not
",['not']
33,"used
",['used']
34,"system
",['system']
35,"core
",['core']
36,"heat
",['heat']
37,"fig
",['fig']
38,"time
",['time']
39,"data
",['data']
40,"##d
","['#', '#', 'd']"
41,"##ed
","['#', '#', 'ed']"
42,"power
",['power']
43,"flow
",['flow']
44,"pressure
",['pressure']
45,"materials
",['materials']
46,"design
",['design']
47,"also
",['also']
48,"high
",['high']
49,"##a
","['#', '#', 'a']"
50,"figure
",['figure']
51,"using
",['using']
52,"##t
","['#', '#', 't']"
53,"test
",['test']
54,"results
",['results']
55,"##en
","['#', '#', 'en']"
56,"all
",['all']
57,"energy
",['energy']
58,"##y
","['#', '#', 'y']"
59,"two
",['two']
60,"thermal
",['thermal']
61,"during
",['during']
62,"surface
",['surface']
63,"der
",['der']
64,"steel
",['steel']
65,"than
",['than']
66,"rate
",['rate']
67,"between
",['between']
68,"one
",['one']
69,"fast
",['fast']
70,"shown
",['shown']
71,"analysis
",['analysis']
72,"die
",['die']
73,"table
",['table']
74,"##r
","['#', '#', 'r']"
75,"may
",['may']
76,"material
",['material']
77,"such
",['such']
78,"would
",['would']
79,"gas
",['gas']
80,"##ly
","['#', '#', 'l', '##y']"
81,"nuclear
",['nuclear']
82,"des
",['des']
83,"due
",['due']
84,"into
",['into']
85,"other
",['other']
86,"water
",['water']
87,"##l
","['#', '#', 'l']"
88,"stress
",['stress']
89,"phase
",['phase']
90,"##o
","['#', '#', 'o']"
91,"each
",['each']
92,"after
",['after']
93,"more
",['more']
94,"conditions
",['conditions']
95,"##i
","['#', '#', 'i']"
96,"number
",['number']
97,"different
",['different']
98,"##es
","['#', '#', 'es']"
99,"out
",['out']
100,"section
",['section']
101,"effect
",['effect']
102,"about
",['about']
103,"model
",['model']
104,"research
",['research']
105,"through
",['through']
106,"experimental
",['experimental']
107,"neutron
",['neutron']
108,"obtained
",['obtained']
109,"values
",['values']
110,"control
",['control']
111,"##er
","['#', '#', 'er']"
112,"under
",['under']
113,"flux
",['flux']
114,"any
",['any']
115,"only
",['only']
116,"temperatures
",['temperatures']
117,"however
",['however']
118,"type
",['type']
119,"study
",['study']
120,"when
",['when']
121,"##m
","['#', '#', 'm']"
